epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.00521,0.00252,0.00268,0.99922,0.00772,0.99817,0.8822
2,0.00334,0.00179,0.00154,0.99941,0.00853,0.99767,0.8539
3,0.00335,0.00225,0.0011,0.99911,0.01078,0.99783,0.8567
4,0.00277,0.00193,0.00083,0.99939,0.00665,0.9985,0.8602
5,0.00264,0.00196,0.00068,0.99935,0.00891,0.99833,0.8855
6,0.00158,0.00102,0.00056,0.99974,0.00852,0.99783,0.889
7,0.00116,0.00068,0.00048,0.99985,0.00761,0.99817,0.9096
8,0.00096,0.00054,0.00042,0.99985,0.00999,0.99783,0.8566
9,0.00134,0.00096,0.00038,0.99967,0.00785,0.99833,0.9183
10,0.00122,0.00087,0.00035,0.99967,0.00512,0.9985,0.9018
11,0.00065,0.00033,0.00033,0.99991,0.00609,0.999,0.8845
12,0.00052,0.00022,0.0003,0.99994,0.00667,0.99867,0.8873
13,0.00039,0.00012,0.00026,0.99996,0.0064,0.999,0.8984
14,0.0003,6e-05,0.00024,1.0,0.00676,0.99867,0.8908
15,0.00028,7e-05,0.00021,1.0,0.0071,0.99833,0.8896
16,0.00026,6e-05,0.00019,1.0,0.00669,0.9985,0.887
17,0.00025,7e-05,0.00018,0.99998,0.00725,0.99867,0.895
18,0.00025,7e-05,0.00017,0.99998,0.008,0.99833,0.8865
19,0.00021,4e-05,0.00017,1.0,0.00771,0.9985,0.8918
20,0.0002,4e-05,0.00017,1.0,0.00766,0.9985,0.8914
